,image_url,price,product_name,product_url,review_count,source_product_id,star_rating
239,https://m.media-amazon.com/images/I/61jxDt1SisL._AC_UL436_.jpg,$69.99,"tomtoc Vintage Travel Backpack Business Durable Laptops Backpack w/Charge Port, Waterproof Computer Book Bag for Women & Men Fits up to 15.6” Laptop Notebook & 10.5” iPad",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_mobile_sr_pg9_2?ie=UTF8&adId=A0492998L5GYUOUGKX14&url=%2Ftomtoc-Backpack-Business-Waterproof-Computer%2Fdp%2FB07MFNPN3G%2Fref%3Dsr_1_208_sspa%3Fkeywords%3Dlaptop%26qid%3D1558935019%26s%3Dwireless%26sr%3D1-208-spons%26psc%3D1&qualifier=1558935019&id=8874614730448628&widgetName=sp_mtf,                                        2                                ,B07MFNPN3G,4.5 out of 5 stars
240,https://m.media-amazon.com/images/I/51YOTZJqxwL._AC_UL436_.jpg,,Cusomcardphone Circle Pattern and Composition Spots Geometric Ornamental Light Colors Image Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Composition-Geometric-Ornamental-Smartphones/dp/B07PNHHBKZ/ref=sr_1_209?keywords=laptop&qid=1558935019&s=wireless&sr=1-209,,B07PNHHBKZ,
241,https://m.media-amazon.com/images/I/61kgmdLC6bL._AC_UL436_.jpg,,Cusomcardphone Fashion Popular Style Mushroom Cloud Bomb for Boy Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Fashion-Mushroom-Adhesive-Smartphones/dp/B07PNHH4J4/ref=sr_1_210?keywords=laptop&qid=1558935019&s=wireless&sr=1-210,,B07PNHH4J4,
242,https://m.media-amazon.com/images/I/51eztXCSk1L._AC_UL436_.jpg,,Cusomcardphone Feminine Escape The Ordinary Calligraphy Minimal Slogan with Line for and Apparels Tee Graphic Winter Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Feminine-Ordinary-Calligraphy-Smartphones/dp/B07PNHG7HY/ref=sr_1_211?keywords=laptop&qid=1558935019&s=wireless&sr=1-211,,B07PNHG7HY,
243,https://m.media-amazon.com/images/I/61kOMrsCDHL._AC_UL436_.jpg,,Cusomcardphone Cityscape New York City in Winter Central Park Snowy Buildings Photo Art Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Cityscape-Buildings-Adhesive-Smartphones/dp/B07PNHF6VF/ref=sr_1_212?keywords=laptop&qid=1558935019&s=wireless&sr=1-212,,B07PNHF6VF,
244,https://m.media-amazon.com/images/I/61J0v+Ocs1L._AC_UL436_.jpg,,Cusomcardphone Day of The Dead Skeleton Cats Festive Celebration Spanish Art Print Black White Turquoise Pink Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Skeleton-Celebration-Turquoise-Smartphones/dp/B07PNHCJN1/ref=sr_1_213?keywords=laptop&qid=1558935019&s=wireless&sr=1-213,,B07PNHCJN1,
245,https://m.media-amazon.com/images/I/61nJB4NBAvL._AC_UL436_.jpg,,"TysoOLDPhoneC Delicate Blooming Wildflowers on Grey Phone Card Holder Adhesive Card Sleeve Card Pouch, iPhone Card on The Back of Phone and case of LG,Piexl,HTC,BLU,Sony,2 PCS",https://www.amazon.com/TysoOLDPhoneC-Delicate-Blooming-Wildflowers-Adhesive/dp/B07PNHC84Y/ref=sr_1_214?keywords=laptop&qid=1558935019&s=wireless&sr=1-214,,B07PNHC84Y,
246,https://m.media-amazon.com/images/I/51K0wiQFc5L._AC_UL436_.jpg,,Cusomcardphone Crow Spirit Wings Haunting Magic Mysticism Dark Shadowy Occult Art Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Haunting-Mysticism-Adhesive-Smartphones/dp/B07PNHBX98/ref=sr_1_215?keywords=laptop&qid=1558935019&s=wireless&sr=1-215,,B07PNHBX98,
247,https://m.media-amazon.com/images/I/61Ay1jnvH-L._AC_UL436_.jpg,,Cusomcardphone Dramatic Skull Girl in Colorful Floral Veil Down Day of The Dead Lady Sadness Art Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Dramatic-Colorful-Adhesive-Smartphones/dp/B07PNHB9HY/ref=sr_1_216?keywords=laptop&qid=1558935019&s=wireless&sr=1-216,,B07PNHB9HY,
248,https://m.media-amazon.com/images/I/61v+KxFibiL._AC_UL436_.jpg,,Cusomcardphone Dragons Themed Design Mythical Early Medieval Scandinavian Celtic Castle Knights Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Mythical-Medieval-Scandinavian-Smartphones/dp/B07PMJYMYD/ref=sr_1_217?keywords=laptop&qid=1558935019&s=wireless&sr=1-217,,B07PMJYMYD,
249,https://m.media-amazon.com/images/I/5194YumR3xL._AC_UL436_.jpg,,Cusomcardphone Cute Flamingo with Flower Crown and Ribbon Fairy Tale Children Story Artwork Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Flamingo-Children-Adhesive-Smartphones/dp/B07PMJWY3W/ref=sr_1_218?keywords=laptop&qid=1558935019&s=wireless&sr=1-218,,B07PMJWY3W,
250,https://m.media-amazon.com/images/I/61UUEgzntRL._AC_UL436_.jpg,,Cusomcardphone Eiffel Tower Woman Figure in Paris in Autumn Inspirational Words Vogue Theme Art Print Black Pink Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Inspirational-Adhesive-Android-Smartphones/dp/B07PMJWN36/ref=sr_1_219?keywords=laptop&qid=1558935019&s=wireless&sr=1-219,,B07PMJWN36,
251,https://m.media-amazon.com/images/I/61fxI3o6dTL._AC_UL436_.jpg,,Cusomcardphone Disco Backdrop with Gradient Fractal Mosaic Little Squares Print Adhesive Phone Pocket Cell Phone of iPhone Android and All Smartphones 2 PCS,https://www.amazon.com/Cusomcardphone-Backdrop-Gradient-Adhesive-Smartphones/dp/B07PMJWCSZ/ref=sr_1_220?keywords=laptop&qid=1558935019&s=wireless&sr=1-220,,B07PMJWCSZ,
252,https://m.media-amazon.com/images/I/61UFN2ttPVL._AC_UL436_.jpg,$249.99,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_mobile_sr_pg9_1?ie=UTF8&adId=A101563332DUO5LH4FSGY&url=%2FLenovo-Chromebook-Convertible-11-6-Inch-81HY0000US%2Fdp%2FB07GM2J11Q%2Fref%3Dsr_1_221_sspa%3Fkeywords%3Dlaptop%26qid%3D1558935019%26s%3Dwireless%26sr%3D1-221-spons%26psc%3D1&qualifier=1558935019&id=8874614730448628&widgetName=sp_btf,                                        329                                ,B07GM2J11Q,4.3 out of 5 stars
253,https://m.media-amazon.com/images/I/71S3Rnugf7L._AC_UL436_.jpg,$218.00,"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_mobile_sr_pg9_2?ie=UTF8&adId=A0807515DWN3AYJCW9FE&url=%2FChromebook-C202SA-YS02-Ruggedized-Resistant-Celeron%2Fdp%2FB01DBGVB7K%2Fref%3Dsr_1_222_sspa%3Fkeywords%3Dlaptop%26qid%3D1558935019%26s%3Dwireless%26sr%3D1-222-spons%26psc%3D1&qualifier=1558935019&id=8874614730448628&widgetName=sp_btf,                                        1583                                ,B01DBGVB7K,4.0 out of 5 stars
254,https://m.media-amazon.com/images/I/61TQHx1440L._AC_UL436_.jpg,,TysoOLDPhoneC Golden Moroccan Pattern Card Secure Holder Stick on PU Wallet Pouch Support iPhone Or Android Smartphones,https://www.amazon.com/TysoOLDPhoneC-Moroccan-Pattern-Support-Smartphones/dp/B07PFCHNWV/ref=sr_1_217?keywords=laptop&qid=1558935025&s=wireless&sr=1-217,,B07PFCHNWV,
255,https://m.media-amazon.com/images/I/51+EPlKuDWL._AC_UL436_.jpg,,TysoOLDPhoneC Grey Leather │ Ethical Cowhide and Skin Card Secure Holder Stick on PU Wallet Pouch Support iPhone Or Android Smartphones,https://www.amazon.com/TysoOLDPhoneC-Leather-Ethical-Cowhide-Smartphones/dp/B07PFC67C6/ref=sr_1_218?keywords=laptop&qid=1558935025&s=wireless&sr=1-218,,B07PFC67C6,
256,https://m.media-amazon.com/images/I/51wW4zWpXJL._AC_UL436_.jpg,,"ZninesOnhOLD Geometric Pattern 9 (Triangles) Stick On Card Holder Wallet, Credit Card Phone Wallet Case for Any iPhone or Android",https://www.amazon.com/ZninesOnhOLD-Geometric-Pattern-Triangles-Android/dp/B07PFC61W6/ref=sr_1_219?keywords=laptop&qid=1558935025&s=wireless&sr=1-219,,B07PFC61W6,
