price,source_product_id,product_name,product_url,review_count,star_rating
,B0006LJDXI,"Estee Lauder Double Matte Oil-Control Pressed Powder Women, 02 Light Medium, 0.49 Ounce",https://www.amazon.com/Estee-Lauder-Double-Oil-Control-Pressed/dp/B0006LJDXI/ref=sr_1_64?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-64,21.0,4.9 out of 5 stars
$56.10,B072178S9D,Estee Lauder Revitalizing Supreme + Global Anti-Aging Cell Power Eye Balm 15ml/0.5oz,https://www.amazon.com/Estee-Lauder-Revitalizing-Supreme-Anti-Aging/dp/B072178S9D/ref=sr_1_65?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-65,4.0,5.0 out of 5 stars
$37.99,B078PLZN7G,,https://www.amazon.com/Estee-Lauder-Double-Maximum-Camouflage/dp/B078PLZN7G/ref=sr_1_66?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-66,5.0,4.7 out of 5 stars
$30.00,B00RMXTSOM,"Estee Lauder Advanced Night Repair Eye Synchronized Complex II 15 ml/0.5 oz (Jar of 3, 5 ml/0.17 oz each)",https://www.amazon.com/Estee-Lauder-Advanced-Synchronized-Complex/dp/B00RMXTSOM/ref=sr_1_67?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-67,29.0,3.7 out of 5 stars
$40.00,B079LBNTY8,,https://www.amazon.com/Lauder-Double-Maximum-Camouflage-Makeup/dp/B079LBNTY8/ref=sr_1_68?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-68,4.0,5.0 out of 5 stars
$63.99,B00X8S4GQ0,"Estee Lauder Nutritious Vitality8 Radiant Moisture Creme, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Nutritious-Vitality8-Moisture/dp/B00X8S4GQ0/ref=sr_1_69?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-69,10.0,4.7 out of 5 stars
$34.95,B00D14PHNW,Lot of 3 x 1 oz Estee Lauder Perfectly Clean Splash Away Foaming Cleanser,https://www.amazon.com/Estee-Lauder-Perfectly-Foaming-Cleanser/dp/B00D14PHNW/ref=sr_1_70?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-70,65.0,4.2 out of 5 stars
$48.97,B008N0DF10,Estee Lauder DayWear Multi-Protection Anti-Oxidant 24H-Moisture Creme SPF 15 (Dry Skin) 1.7 Ounce,https://www.amazon.com/Estee-Lauder-Multi-Protection-Anti-Oxidant-24H-Moisture/dp/B008N0DF10/ref=sr_1_71?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-71,1.0,5.0 out of 5 stars
$32.00,B00B9G50NQ,"Estee Lauder Pure Color Envy Sculpting Lipstick, Rebellious Rose, 0.12 Ounce",https://www.amazon.com/Estee-Lauder-Sculpting-Lipstick-Rebellious/dp/B00B9G50NQ/ref=sr_1_72?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-72,10.0,3.9 out of 5 stars
$36.98,B00OPK4XW2,"Estee Lauder Enlighten Even Skintone Correcting Creme for Unisex, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Enlighten-Skintone-Correcting/dp/B00OPK4XW2/ref=sr_1_76?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-76,9.0,4.0 out of 5 stars
