product_id,source_product_name,digit_in_url
2358,"Realme U1 (Ambitious Black, 32 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Ambitious Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Ambitious Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Brave Blue, 32 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Brave Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Fiery Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2426,"Realme U1 (Fiery Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-realme-u1-review-173427.html
2355,"Realme 1 (Diamond Red, 64 GB)",https://www.digit.in/reviews/mobile-phones/realme-1-128gb-review-131185.html
2355,"Realme 1 (Solar Red, Red, 128 GB)",https://www.digit.in/reviews/mobile-phones/realme-1-128gb-review-131185.html
2355,"Realme 2 Pro (Black Sea, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/realme-2-pro-128gb-review-161608.html
2478,"Realme 3 Pro (Carbon Grey, 64 GB)",https://www.digit.in/reviews/mobile-phones/realme-3-pro-review-181343.html
2484,"Samsung Galaxy A30 (Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-a30-review-178963.html
2461,"Samsung Galaxy M30 (Gradation Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-m30-review-177425.html
2461,"Samsung Galaxy M30 (Gradation Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-m30-review-177425.html
2156,"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-note-8-review-51584.html
2474,"Samsung Galaxy S10 Plus (Prism White, 128 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s10-plus-review-177523.html
2477,"Samsung Galaxy S10e (Prism White, 128 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s10e-review-179033.html
2050,"Samsung Galaxy S8 Plus (Midnight Black, 128 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s8-plus-review-54772.html
2050,"Samsung Galaxy S8 Plus (Midnight Black, 128 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s8-plus-review-54772.html
2238,"Samsung Galaxy S9 Plus (Coral Blue, 128 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s9-plus-review-100081.html
2238,"Samsung Galaxy S9 Plus (Polaris Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/samsung-galaxy-s9-plus-review-100081.html
2405,"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-mi-a2-review-125589.html
2405,"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-mi-a2-review-125589.html
2426,"Redmi 5 (Black, 2GB RAM, 16GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Black, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Gold, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5 (Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
