source_product_name,url
"Redmi 5 (Gold, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Rose Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5A (Blue, 16 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5a-review-1784502
"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Comet Blue, 3GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Eclipse Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Lunar Red, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Lunar Red, 3GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Comet Blue, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi 7 (Lunar Red, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-7-review-xiaomi-india-mi-7-price-2029081
"Redmi Note 5 Pro (Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 Pro (Blue, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 Pro (Gold, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 Pro (Gold, 6GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-pro-review-1812789
"Redmi Note 5 (Gold, 64 GB) (4 GB RAM)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-review-1812793
"Redmi Note 5 (Rose Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-review-1812793
"Redmi Note 5 (Rose Gold, 64 GB) (4 GB RAM)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-5-review-1812793
"Redmi Note 7 (Sapphire Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-7-review-xiaomi-price-in-india-2011365
"Redmi Note 7 (Sapphire Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-7-review-xiaomi-price-in-india-2011365
"Redmi Note 7 (Sapphire Blue, 64GB, 4GB RAM)",https://gadgets.ndtv.com/mobiles/reviews/redmi-note-7-review-xiaomi-price-in-india-2011365
"Redmi Y1 (Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-y1-review-1772369
"Samsung Galaxy A30 (Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/samsung-a30-review-price-in-india-galaxy-a30-2007044
"Samsung Galaxy A50 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-a50-review-2004033
"Samsung Galaxy A50 (Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-a50-review-2004033
"Samsung Galaxy A50 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-a50-review-2004033
"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-note-8-review-1752402
"Samsung Galaxy S9 Plus (Polaris Blue, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-s9-plus-review-1824169
