source_id,product_id,source_product_id,source_product_name,source_product_url
3,20000089,B071K6DGSG,"Pedigree Gravy Adult Dog Food, Chicken and Liver Chunks, 80 g Pouch (Pack of 5)",https://www.amazon.in/dp/B071K6DGSG
3,20000089,B0757QSBKZ,"Pedigree Gravy Adult Dog Food, Chicken and Liver Chunks, 80 g Pouch (Pack of 5)",https://www.amazon.in/dp/B0757QSBKZ
3,20000090,B072KDVPGN,"Pedigree Gravy Puppy Food, Chicken and Rice, 80 g Pouch (Pack of 5)",https://www.amazon.in/dp/B072KDVPGN
3,20000090,B0757SDTL8,"Pedigree Gravy Puppy Food, Chicken and Rice, 80 g Pouch (Pack of 5)",https://www.amazon.in/dp/B0757SDTL8
3,20000091,B01KFGMQS2,"Whiskas Wet Meal Kitten Cat Food Tuna in Jelly, 1.02 kg (Pack of 12)",https://www.amazon.in/dp/B01KFGMQS2
3,20000091,B0757S3Q17,"Whiskas Wet Meal Kitten Cat Food Tuna in Jelly, 1.02 kg (Pack of 12)",https://www.amazon.in/dp/B0757S3Q17
3,20000092,B071K6DG1T,"Whiskas Wet Meal Kitten Food, Chicken in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B071K6DG1T
3,20000092,B0757SS3LG,"Whiskas Wet Meal Kitten Food, Chicken in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B0757SS3LG
3,20000093,B072QYSG32,"Whiskas Wet Meal Kitten Food, Tuna in Jelly, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B072QYSG32
3,20000093,B0757SHXZW,"Whiskas Wet Meal Kitten Food, Tuna in Jelly, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B0757SHXZW
3,20000094,B072KDVPPJ,"Whiskas Wet Meal Adult Cat Food, Chicken in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B072KDVPPJ
3,20000094,B0757QSWWR,"Whiskas Wet Meal Adult Cat Food, Chicken in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B0757QSWWR
3,20000095,B071X4H7SB,"Whiskas Wet Meal Adult Cat Food, Salmon in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B071X4H7SB
3,20000095,B0757S3Q1W,"Whiskas Wet Meal Adult Cat Food, Salmon in Gravy, 85 g Pouch (Pack of 6)",https://www.amazon.in/dp/B0757S3Q1W
3,20000096,B002RWK1D0,"Pedigree Dentastix Small Breed Dog Oral Care, 110 g Weekly Pack (7 Sticks)",https://www.amazon.in/dp/B002RWK1D0
3,20000096,B01GVEYNMO,"Pedigree Dentastix Small Breed Dog Oral Care, 110 g Weekly Pack (7 Sticks)",https://www.amazon.in/dp/B01GVEYNMO
3,20000097,B071GLB5WW,"Pedigree Meat Jerky Stix Dog Treats, Grilled Liver, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B071GLB5WW
3,20000097,B0757QSY94,"Pedigree Meat Jerky Stix Dog Treats, Grilled Liver, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757QSY94
3,20000098,B01GCQ9EH0,"Pedigree Gravy Puppy Dog Food Chicken & Rice, 80 g Pouch",https://www.amazon.in/dp/B01GCQ9EH0
3,20000098,B00LHS8286,"Pedigree Gravy Puppy Dog Food Chicken & Rice, 80 g Pouch",https://www.amazon.in/dp/B00LHS8286
3,20000099,B01GCQA37U,"Pedigree Puppy Dog Food Chicken & Milk, 400 g (Small Pack)",https://www.amazon.in/dp/B01GCQA37U
3,20000099,B00LHS84HA,"Pedigree Puppy Dog Food Chicken & Milk, 400 g (Small Pack)",https://www.amazon.in/dp/B00LHS84HA
3,20000100,B01GCQA8BQ,"Pedigree Adult Dog Food Chicken & Vegetables, 400 g (Small Pack)",https://www.amazon.in/dp/B01GCQA8BQ
3,20000100,B00LHS884Y,"Pedigree Adult Dog Food Chicken & Vegetables, 400 g (Small Pack)",https://www.amazon.in/dp/B00LHS884Y
3,20000101,B01GCQ9WDQ,"Pedigree Adult Dog Food Chicken & Liver Chunks Flavour In Gravy, 80 g",https://www.amazon.in/dp/B01GCQ9WDQ
3,20000101,B00LHS7ZVQ,"Pedigree Adult Dog Food Chicken & Liver Chunks Flavour In Gravy, 80 g",https://www.amazon.in/dp/B00LHS7ZVQ
3,20000102,B01GCQDMFK,"Whiskas Wet Meal Adult Cat Food Ocean Fish, 85 g Pouch",https://www.amazon.in/dp/B01GCQDMFK
3,20000102,B00FV1GXMM,"Whiskas Wet Meal Adult Cat Food Ocean Fish, 85 g Pouch",https://www.amazon.in/dp/B00FV1GXMM
3,20000103,B01N0MB9ES,"Sheba Deluxe Pure Tuna, 85 g",https://www.amazon.in/dp/B01N0MB9ES
3,20000103,B00LHT78YY,"Sheba Deluxe Pure Tuna, 85 g",https://www.amazon.in/dp/B00LHT78YY
3,20000104,B01N7DHLD7,"Sheba Deluxe Tuna Fillets and Whole Prawns in Gravy, 85 g",https://www.amazon.in/dp/B01N7DHLD7
3,20000104,B00LHT7HNQ,"Sheba Deluxe Tuna Fillets and Whole Prawns in Gravy, 85 g",https://www.amazon.in/dp/B00LHT7HNQ
3,20000105,B01M62EGLA,Whiskas (Adult - Cat Food) Ocean Fish 12kg (3 kg X 4 Packs),https://www.amazon.in/dp/B01M62EGLA
3,20000106,B01LZWY61S,"Whiskas Wet Meal Adult Cat Food, Tuna in Jelly, 1.02 kg (Pack of 12)",https://www.amazon.in/dp/B01LZWY61S
3,20000106,B01N7DFLTO,"Whiskas Wet Meal Adult Cat Food, Tuna in Jelly, 1.02 kg (Pack of 12)",https://www.amazon.in/dp/B01N7DFLTO
3,20000107,B071L9QW97,"Pedigree Gravy Puppy Dog Food Pouch, Chicken and Rice, 100 g",https://www.amazon.in/dp/B071L9QW97
3,20000108,B072N85FPV,"Whiskas (Adult - Cat Food) Pocket Mackerel, 12 kg ( 3 kg X 4  Packs)",https://www.amazon.in/dp/B072N85FPV
3,20000109,B072KND54D,"Whiskas (Adult - Cat Food) Pocket Tuna, 12 kg ( 3 kg X 4  Packs)",https://www.amazon.in/dp/B072KND54D
3,20000110,B005MFZGIO,"Whiskas Adult Cat Food Pocket Mackerel, 3 kg Pack",https://www.amazon.in/dp/B005MFZGIO
3,20000110,B01GCQDD2W,"Whiskas Adult Cat Food Pocket Mackerel, 3 kg Pack",https://www.amazon.in/dp/B01GCQDD2W
3,20000111,B00LHULUTM,"Whiskas Adult Cat Food Pocket Ocean Fish, 3 kg Pack",https://www.amazon.in/dp/B00LHULUTM
